in s,C2 in V
-1.0994560E+00,5.76172E-01
-1.0994476E+00,6.93359E-01
-1.0994392E+00,5.95703E-01
-1.0994308E+00,6.73828E-01
-1.0994224E+00,6.73828E-01
-1.0994140E+00,7.12891E-01
-1.0994056E+00,5.76172E-01
-1.0993972E+00,6.93359E-01
-1.0993888E+00,6.73828E-01
-1.0993804E+00,6.54297E-01
-1.0993720E+00,7.12891E-01
-1.0993636E+00,7.51953E-01
-1.0993552E+00,6.93359E-01
-1.0993468E+00,6.73828E-01
-1.0993384E+00,6.93359E-01
-1.0993300E+00,7.12891E-01
-1.0993216E+00,6.54297E-01
-1.0993132E+00,7.12891E-01
-1.0993048E+00,6.54297E-01
-1.0992964E+00,6.93359E-01
-1.0992880E+00,5.95703E-01
-1.0992796E+00,6.54297E-01
-1.0992712E+00,7.12891E-01
-1.0992628E+00,7.12891E-01
-1.0992544E+00,6.54297E-01
-1.0992460E+00,7.12891E-01
-1.0992376E+00,6.93359E-01
-1.0992292E+00,6.73828E-01
-1.0992208E+00,6.73828E-01
-1.0992124E+00,7.12891E-01
-1.0992040E+00,6.54297E-01
-1.0991956E+00,6.54297E-01
-1.0991872E+00,6.34766E-01
-1.0991788E+00,6.15234E-01
-1.0991704E+00,6.34766E-01
-1.0991620E+00,5.76172E-01
-1.0991536E+00,5.56641E-01
-1.0991452E+00,5.76172E-01
-1.0991368E+00,5.37109E-01
-1.0991284E+00,4.98047E-01
-1.0991200E+00,4.58984E-01
-1.0991116E+00,4.19922E-01
-1.0991032E+00,4.19922E-01
-1.0990948E+00,3.22266E-01
-1.0990864E+00,2.63672E-01
-1.0990780E+00,3.22266E-01
-1.0990696E+00,2.83203E-01
-1.0990612E+00,2.24609E-01
-1.0990528E+00,1.07422E-01
-1.0990444E+00,1.66016E-01
-1.0990360E+00,6.83594E-02
-1.0990276E+00,2.92969E-02
-1.0990192E+00,-6.83594E-02
-1.0990108E+00,-6.83594E-02
-1.0990024E+00,-1.46484E-01
-1.0989940E+00,-2.05078E-01
-1.0989856E+00,-2.24609E-01
-1.0989772E+00,-2.05078E-01
-1.0989688E+00,-2.83203E-01
-1.0989604E+00,-2.83203E-01
-1.0989520E+00,-3.61328E-01
-1.0989436E+00,-3.61328E-01
-1.0989352E+00,-4.19922E-01
-1.0989268E+00,-3.80859E-01
-1.0989184E+00,-5.17578E-01
-1.0989100E+00,-5.17578E-01
-1.0989016E+00,-5.37109E-01
-1.0988932E+00,-5.56641E-01
-1.0988848E+00,-5.37109E-01
-1.0988764E+00,-5.95703E-01
-1.0988680E+00,-5.76172E-01
-1.0988596E+00,-5.37109E-01
-1.0988512E+00,-6.54297E-01
-1.0988428E+00,-6.54297E-01
-1.0988344E+00,-6.73828E-01
-1.0988260E+00,-6.34766E-01
-1.0988176E+00,-7.32422E-01
-1.0988092E+00,-6.73828E-01
-1.0988008E+00,-7.32422E-01
-1.0987924E+00,-7.12891E-01
-1.0987840E+00,-6.73828E-01
-1.0987756E+00,-6.73828E-01
-1.0987672E+00,-7.51953E-01
-1.0987588E+00,-6.93359E-01
-1.0987504E+00,-6.93359E-01
-1.0987420E+00,-8.10547E-01
-1.0987336E+00,-7.91016E-01
-1.0987252E+00,-7.32422E-01
-1.0987168E+00,-7.91016E-01
-1.0987084E+00,-7.32422E-01
-1.0987000E+00,-6.73828E-01
-1.0986916E+00,-6.93359E-01
-1.0986832E+00,-7.71484E-01
-1.0986748E+00,-7.12891E-01
-1.0986664E+00,-8.10547E-01
-1.0986580E+00,-7.91016E-01
-1.0986496E+00,-7.32422E-01
-1.0986412E+00,-7.32422E-01
-1.0986328E+00,-7.71484E-01
-1.0986244E+00,-7.91016E-01
-1.0986160E+00,-8.10547E-01
-1.0986076E+00,-7.91016E-01
-1.0985992E+00,-8.10547E-01
-1.0985908E+00,-8.88672E-01
-1.0985824E+00,-9.47266E-01
-1.0985740E+00,-8.30078E-01
-1.0985656E+00,-8.69141E-01
-1.0985572E+00,-8.69141E-01
-1.0985488E+00,-9.27734E-01
-1.0985404E+00,-8.30078E-01
-1.0985320E+00,-8.49609E-01
-1.0985236E+00,-8.49609E-01
-1.0985152E+00,-9.27734E-01
-1.0985068E+00,-9.27734E-01
-1.0984984E+00,-9.27734E-01
-1.0984900E+00,-8.10547E-01
-1.0984816E+00,-9.08203E-01
-1.0984732E+00,-8.49609E-01
-1.0984648E+00,-7.51953E-01
-1.0984564E+00,-7.12891E-01
-1.0984480E+00,-7.12891E-01
-1.0984396E+00,-6.54297E-01
-1.0984312E+00,-5.76172E-01
-1.0984228E+00,-5.17578E-01
-1.0984144E+00,-4.78516E-01
-1.0984060E+00,-3.61328E-01
-1.0983976E+00,-3.41797E-01
-1.0983892E+00,-1.46484E-01
-1.0983808E+00,-2.83203E-01
-1.0983724E+00,-1.46484E-01
-1.0983640E+00,-6.83594E-02
-1.0983556E+00,-9.76562E-03
-1.0983472E+00,4.88281E-02
-1.0983388E+00,1.07422E-01
-1.0983304E+00,1.46484E-01
-1.0983220E+00,3.22266E-01
-1.0983136E+00,2.05078E-01
-1.0983052E+00,2.63672E-01
-1.0982968E+00,3.41797E-01
-1.0982884E+00,3.41797E-01
-1.0982800E+00,3.41797E-01
-1.0982716E+00,4.00391E-01
-1.0982632E+00,3.80859E-01
-1.0982548E+00,4.39453E-01
-1.0982464E+00,4.39453E-01
-1.0982380E+00,4.58984E-01
-1.0982296E+00,4.58984E-01
-1.0982212E+00,4.98047E-01
-1.0982128E+00,5.56641E-01
-1.0982044E+00,5.37109E-01
-1.0981960E+00,6.15234E-01
-1.0981876E+00,6.34766E-01
-1.0981792E+00,4.78516E-01
-1.0981708E+00,6.15234E-01
-1.0981624E+00,6.15234E-01
-1.0981540E+00,6.54297E-01
-1.0981456E+00,5.95703E-01
-1.0981372E+00,6.73828E-01
-1.0981288E+00,6.34766E-01
-1.0981204E+00,6.15234E-01
-1.0981120E+00,5.76172E-01
-1.0981036E+00,6.54297E-01
