in s,C2 in V
1.0350080E-01,2.52246E+00
1.0350541E-01,2.50293E+00
1.0351002E-01,2.52246E+00
1.0351462E-01,2.50293E+00
1.0351923E-01,2.51270E+00
1.0352384E-01,2.49316E+00
1.0352845E-01,2.53223E+00
1.0353306E-01,2.53223E+00
1.0353766E-01,2.52246E+00
1.0354227E-01,2.49316E+00
1.0354688E-01,2.46387E+00
1.0355149E-01,2.50293E+00
1.0355610E-01,2.50293E+00
1.0356070E-01,2.51270E+00
1.0356531E-01,2.47363E+00
1.0356992E-01,2.52246E+00
1.0357453E-01,2.47363E+00
1.0357914E-01,2.47363E+00
1.0358374E-01,2.46387E+00
1.0358835E-01,2.54199E+00
1.0359296E-01,2.48340E+00
1.0359757E-01,2.50293E+00
1.0360218E-01,2.51270E+00
1.0360678E-01,2.46387E+00
1.0361139E-01,2.47363E+00
1.0361600E-01,2.48340E+00
1.0362061E-01,2.47363E+00
1.0362522E-01,2.46387E+00
1.0362982E-01,2.50293E+00
1.0363443E-01,2.50293E+00
1.0363904E-01,2.47363E+00
1.0364365E-01,2.50293E+00
1.0364826E-01,2.45410E+00
1.0365286E-01,2.52246E+00
1.0365747E-01,2.48340E+00
1.0366208E-01,2.50293E+00
1.0366669E-01,2.49316E+00
1.0367130E-01,2.51270E+00
1.0367590E-01,2.46387E+00
1.0368051E-01,2.47363E+00
1.0368512E-01,2.49316E+00
1.0368973E-01,2.50293E+00
1.0369434E-01,2.49316E+00
1.0369894E-01,2.50293E+00
1.0370355E-01,2.50293E+00
1.0370816E-01,2.51270E+00
1.0371277E-01,2.47363E+00
1.0371738E-01,2.49316E+00
1.0372198E-01,2.48340E+00
1.0372659E-01,2.50293E+00
1.0373120E-01,2.51270E+00
1.0373581E-01,2.50293E+00
1.0374042E-01,2.47363E+00
1.0374502E-01,2.50293E+00
1.0374963E-01,2.48340E+00
1.0375424E-01,2.49316E+00
1.0375885E-01,2.49316E+00
1.0376346E-01,2.49316E+00
1.0376806E-01,2.52246E+00
1.0377267E-01,2.52246E+00
1.0377728E-01,2.53223E+00
1.0378189E-01,2.49316E+00
1.0378650E-01,2.53223E+00
1.0379110E-01,2.54199E+00
1.0379571E-01,2.53223E+00
1.0380032E-01,2.50293E+00
1.0380493E-01,2.53223E+00
1.0380954E-01,2.51270E+00
1.0381414E-01,2.54199E+00
1.0381875E-01,2.53223E+00
1.0382336E-01,2.50293E+00
1.0382797E-01,2.52246E+00
1.0383258E-01,2.53223E+00
1.0383718E-01,2.56152E+00
1.0384179E-01,2.51270E+00
1.0384640E-01,2.52246E+00
1.0385101E-01,2.56152E+00
1.0385562E-01,2.53223E+00
1.0386022E-01,2.53223E+00
1.0386483E-01,2.56152E+00
1.0386944E-01,2.52246E+00
1.0387405E-01,2.53223E+00
1.0387866E-01,2.50293E+00
1.0388326E-01,2.54199E+00
1.0388787E-01,2.53223E+00
1.0389248E-01,2.57129E+00
1.0389709E-01,2.53223E+00
1.0390170E-01,2.55176E+00
1.0390630E-01,2.57129E+00
1.0391091E-01,2.55176E+00
1.0391552E-01,2.52246E+00
1.0392013E-01,2.55176E+00
1.0392474E-01,2.54199E+00
1.0392934E-01,2.56152E+00
1.0393395E-01,2.50293E+00
1.0393856E-01,2.57129E+00
1.0394317E-01,2.55176E+00
1.0394778E-01,2.55176E+00
1.0395238E-01,2.52246E+00
1.0395699E-01,2.54199E+00
1.0396160E-01,2.56152E+00
1.0396621E-01,2.59082E+00
1.0397082E-01,2.55176E+00
1.0397542E-01,2.54199E+00
1.0398003E-01,2.56152E+00
1.0398464E-01,2.58105E+00
1.0398925E-01,2.56152E+00
1.0399386E-01,2.53223E+00
1.0399846E-01,2.54199E+00
1.0400307E-01,2.55176E+00
1.0400768E-01,2.56152E+00
1.0401229E-01,2.54199E+00
1.0401690E-01,2.52246E+00
1.0402150E-01,2.57129E+00
1.0402611E-01,2.54199E+00
1.0403072E-01,2.56152E+00
1.0403533E-01,2.53223E+00
1.0403994E-01,2.55176E+00
1.0404454E-01,2.56152E+00
1.0404915E-01,2.52246E+00
1.0405376E-01,2.53223E+00
1.0405837E-01,2.50293E+00
1.0406298E-01,2.55176E+00
1.0406758E-01,2.53223E+00
1.0407219E-01,2.54199E+00
1.0407680E-01,2.47363E+00
1.0408141E-01,2.54199E+00
1.0408602E-01,2.53223E+00
1.0409062E-01,2.57129E+00
1.0409523E-01,2.50293E+00
1.0409984E-01,2.52246E+00
1.0410445E-01,2.57129E+00
1.0410906E-01,2.53223E+00
1.0411366E-01,2.52246E+00
1.0411827E-01,2.48340E+00
1.0412288E-01,2.52246E+00
1.0412749E-01,2.50293E+00
1.0413210E-01,2.54199E+00
1.0413670E-01,2.53223E+00
1.0414131E-01,2.50293E+00
1.0414592E-01,2.50293E+00
1.0415053E-01,2.50293E+00
1.0415514E-01,2.50293E+00
1.0415974E-01,2.53223E+00
1.0416435E-01,2.50293E+00
1.0416896E-01,2.47363E+00
1.0417357E-01,2.50293E+00
1.0417818E-01,2.54199E+00
1.0418278E-01,2.50293E+00
1.0418739E-01,2.49316E+00
1.0419200E-01,2.46387E+00
1.0419661E-01,2.53223E+00
1.0420122E-01,2.53223E+00
1.0420582E-01,2.46387E+00
1.0421043E-01,2.48340E+00
1.0421504E-01,2.50293E+00
1.0421965E-01,2.50293E+00
1.0422426E-01,2.49316E+00
1.0422886E-01,2.50293E+00
1.0423347E-01,2.48340E+00
1.0423808E-01,2.48340E+00
1.0424269E-01,2.50293E+00
1.0424730E-01,2.46387E+00
1.0425190E-01,2.49316E+00
1.0425651E-01,2.46387E+00
1.0426112E-01,2.48340E+00
1.0426573E-01,2.46387E+00
1.0427034E-01,2.49316E+00
1.0427494E-01,2.46387E+00
1.0427955E-01,2.46387E+00
1.0428416E-01,2.52246E+00
1.0428877E-01,2.47363E+00
1.0429338E-01,2.49316E+00
1.0429798E-01,2.47363E+00
1.0430259E-01,2.50293E+00
1.0430720E-01,2.49316E+00
1.0431181E-01,2.47363E+00
1.0431642E-01,2.45410E+00
1.0432102E-01,2.46387E+00
1.0432563E-01,2.50293E+00
1.0433024E-01,2.50293E+00
1.0433485E-01,2.46387E+00
1.0433946E-01,2.50293E+00
1.0434406E-01,2.49316E+00
1.0434867E-01,2.52246E+00
1.0435328E-01,2.44434E+00
1.0435789E-01,2.49316E+00
1.0436250E-01,2.53223E+00
1.0436710E-01,2.47363E+00
1.0437171E-01,2.48340E+00
1.0437632E-01,2.46387E+00
1.0438093E-01,2.47363E+00
1.0438554E-01,2.46387E+00
1.0439014E-01,2.48340E+00
1.0439475E-01,2.48340E+00
1.0439936E-01,2.49316E+00
1.0440397E-01,2.47363E+00
1.0440858E-01,2.46387E+00
1.0441318E-01,2.52246E+00
1.0441779E-01,2.53223E+00
1.0442240E-01,2.51270E+00
1.0442701E-01,2.53223E+00
1.0443162E-01,2.46387E+00
1.0443622E-01,2.52246E+00
1.0444083E-01,2.47363E+00
1.0444544E-01,2.52246E+00
1.0445005E-01,2.50293E+00
1.0445466E-01,2.51270E+00
1.0445926E-01,2.51270E+00
1.0446387E-01,2.53223E+00
1.0446848E-01,2.51270E+00
1.0447309E-01,2.57129E+00
