in s,C2 in V
-1.2149964E-01,1.01452E+01
-1.2149496E-01,1.00671E+01
-1.2149028E-01,1.02624E+01
-1.2148560E-01,1.01648E+01
-1.2148092E-01,1.01452E+01
-1.2147624E-01,1.01062E+01
-1.2147156E-01,1.01452E+01
-1.2146688E-01,1.01062E+01
-1.2146220E-01,1.01062E+01
-1.2145752E-01,1.01257E+01
-1.2145284E-01,1.01452E+01
-1.2144816E-01,1.01257E+01
-1.2144348E-01,1.01452E+01
-1.2143880E-01,1.01062E+01
-1.2143412E-01,1.01452E+01
-1.2142944E-01,1.01257E+01
-1.2142476E-01,1.01257E+01
-1.2142008E-01,1.01257E+01
-1.2141540E-01,1.01452E+01
-1.2141072E-01,1.00671E+01
-1.2140604E-01,1.01452E+01
-1.2140136E-01,1.01257E+01
-1.2139668E-01,1.01452E+01
-1.2139200E-01,1.01257E+01
-1.2138732E-01,1.01257E+01
-1.2138264E-01,1.01648E+01
-1.2137796E-01,1.01452E+01
-1.2137328E-01,1.01257E+01
-1.2136860E-01,1.01648E+01
-1.2136392E-01,1.01843E+01
-1.2135924E-01,1.01452E+01
-1.2135456E-01,1.01452E+01
-1.2134988E-01,1.00671E+01
-1.2134520E-01,1.02038E+01
-1.2134052E-01,1.01062E+01
-1.2133584E-01,1.01452E+01
-1.2133116E-01,1.01452E+01
-1.2132648E-01,1.02038E+01
-1.2132180E-01,1.02038E+01
-1.2131712E-01,1.01257E+01
-1.2131244E-01,1.01062E+01
-1.2130776E-01,1.01648E+01
-1.2130308E-01,1.02429E+01
-1.2129840E-01,1.02234E+01
-1.2129372E-01,1.01452E+01
-1.2128904E-01,1.01648E+01
-1.2128436E-01,1.01648E+01
-1.2127968E-01,1.01843E+01
-1.2127500E-01,1.02038E+01
-1.2127032E-01,1.01257E+01
-1.2126564E-01,1.01648E+01
-1.2126096E-01,1.01452E+01
-1.2125628E-01,1.01452E+01
-1.2125160E-01,1.01062E+01
-1.2124692E-01,1.02429E+01
-1.2124224E-01,1.01648E+01
-1.2123756E-01,1.01843E+01
-1.2123288E-01,1.01648E+01
-1.2122820E-01,1.01648E+01
-1.2122352E-01,1.02038E+01
-1.2121884E-01,1.01257E+01
-1.2121416E-01,1.01062E+01
-1.2120948E-01,1.01648E+01
-1.2120480E-01,1.01452E+01
-1.2120012E-01,1.02038E+01
-1.2119544E-01,1.01257E+01
-1.2119076E-01,1.01257E+01
-1.2118608E-01,1.00866E+01
-1.2118140E-01,1.01452E+01
-1.2117672E-01,1.01452E+01
-1.2117204E-01,1.01843E+01
-1.2116736E-01,1.02038E+01
-1.2116268E-01,1.01843E+01
-1.2115800E-01,1.01257E+01
-1.2115332E-01,1.01452E+01
-1.2114864E-01,1.01648E+01
-1.2114396E-01,1.02038E+01
-1.2113928E-01,1.02234E+01
-1.2113460E-01,1.01257E+01
-1.2112992E-01,1.01452E+01
-1.2112524E-01,1.01648E+01
-1.2112056E-01,1.02038E+01
-1.2111588E-01,1.02038E+01
-1.2111120E-01,1.02038E+01
-1.2110652E-01,1.02234E+01
-1.2110184E-01,1.01452E+01
-1.2109716E-01,1.02038E+01
-1.2109248E-01,1.01648E+01
-1.2108780E-01,1.02234E+01
-1.2108312E-01,1.01257E+01
-1.2107844E-01,1.01843E+01
-1.2107376E-01,1.01648E+01
-1.2106908E-01,1.02038E+01
-1.2106440E-01,1.01648E+01
-1.2105972E-01,1.01452E+01
-1.2105504E-01,1.02038E+01
-1.2105036E-01,1.02038E+01
-1.2104568E-01,1.01452E+01
-1.2104100E-01,1.02234E+01
-1.2103632E-01,1.01452E+01
-1.2103164E-01,1.01648E+01
-1.2102696E-01,1.01062E+01
-1.2102228E-01,1.01648E+01
-1.2101760E-01,1.02234E+01
-1.2101292E-01,1.01452E+01
-1.2100824E-01,1.01257E+01
-1.2100356E-01,1.02234E+01
-1.2099888E-01,1.01452E+01
-1.2099420E-01,1.01648E+01
-1.2098952E-01,1.01257E+01
-1.2098484E-01,1.01843E+01
-1.2098016E-01,1.02234E+01
-1.2097548E-01,1.02038E+01
-1.2097080E-01,1.01452E+01
-1.2096612E-01,1.02429E+01
-1.2096144E-01,1.01062E+01
-1.2095676E-01,1.02038E+01
-1.2095208E-01,1.01452E+01
-1.2094740E-01,1.02234E+01
-1.2094272E-01,1.02038E+01
-1.2093804E-01,1.02234E+01
-1.2093336E-01,1.02038E+01
-1.2092868E-01,1.01452E+01
-1.2092400E-01,1.01062E+01
-1.2091932E-01,1.02429E+01
-1.2091464E-01,1.01648E+01
-1.2090996E-01,1.02234E+01
-1.2090528E-01,1.01843E+01
-1.2090060E-01,1.01257E+01
-1.2089592E-01,1.01843E+01
-1.2089124E-01,1.01062E+01
-1.2088656E-01,1.01062E+01
-1.2088188E-01,1.02038E+01
-1.2087720E-01,1.01648E+01
-1.2087252E-01,1.01843E+01
-1.2086784E-01,1.02624E+01
-1.2086316E-01,1.02429E+01
-1.2085848E-01,1.01452E+01
-1.2085380E-01,1.02234E+01
-1.2084912E-01,1.02234E+01
-1.2084444E-01,1.02038E+01
-1.2083976E-01,1.01452E+01
-1.2083508E-01,1.02038E+01
-1.2083040E-01,1.01843E+01
-1.2082572E-01,1.01452E+01
-1.2082104E-01,1.01452E+01
-1.2081636E-01,1.02038E+01
-1.2081168E-01,1.01648E+01
-1.2080700E-01,1.01648E+01
-1.2080232E-01,1.00280E+01
-1.2079764E-01,1.02429E+01
-1.2079296E-01,1.01257E+01
-1.2078828E-01,1.01257E+01
-1.2078360E-01,1.02038E+01
-1.2077892E-01,1.02624E+01
-1.2077424E-01,1.02038E+01
-1.2076956E-01,1.02038E+01
-1.2076488E-01,1.00866E+01
-1.2076020E-01,1.01452E+01
-1.2075552E-01,1.01452E+01
-1.2075084E-01,1.02038E+01
-1.2074616E-01,1.00671E+01
-1.2074148E-01,1.02038E+01
-1.2073680E-01,1.02234E+01
-1.2073212E-01,1.01452E+01
-1.2072744E-01,1.02038E+01
-1.2072276E-01,1.02234E+01
-1.2071808E-01,1.01452E+01
-1.2071340E-01,1.01452E+01
-1.2070872E-01,1.01843E+01
-1.2070404E-01,1.02429E+01
-1.2069936E-01,1.01452E+01
-1.2069468E-01,1.02038E+01
-1.2069000E-01,1.01452E+01
-1.2068532E-01,1.02234E+01
-1.2068064E-01,1.01843E+01
-1.2067596E-01,1.02234E+01
-1.2067128E-01,1.02234E+01
-1.2066660E-01,1.02624E+01
-1.2066192E-01,1.00866E+01
-1.2065724E-01,1.01452E+01
-1.2065256E-01,1.01257E+01
-1.2064788E-01,1.01648E+01
-1.2064320E-01,1.01257E+01
-1.2063852E-01,1.01257E+01
-1.2063384E-01,1.01062E+01
-1.2062916E-01,1.02038E+01
-1.2062448E-01,1.01257E+01
-1.2061980E-01,1.01648E+01
-1.2061512E-01,1.02038E+01
-1.2061044E-01,1.01452E+01
-1.2060576E-01,1.02234E+01
-1.2060108E-01,1.02038E+01
-1.2059640E-01,1.01452E+01
-1.2059172E-01,1.02038E+01
-1.2058704E-01,1.02038E+01
-1.2058236E-01,1.01062E+01
-1.2057768E-01,1.00866E+01
-1.2057300E-01,1.02038E+01
-1.2056832E-01,1.00866E+01
-1.2056364E-01,1.01452E+01
-1.2055896E-01,1.01257E+01
-1.2055428E-01,1.02624E+01
-1.2054960E-01,1.01257E+01
-1.2054492E-01,1.01452E+01
-1.2054024E-01,1.01452E+01
-1.2053556E-01,1.01843E+01
-1.2053088E-01,1.01257E+01
-1.2052620E-01,1.01452E+01
-1.2052152E-01,1.01257E+01
-1.2051684E-01,1.01843E+01
-1.2051216E-01,1.01062E+01
-1.2050748E-01,1.01062E+01
-1.2050280E-01,1.01843E+01
-1.2049812E-01,1.02038E+01
-1.2049344E-01,1.01452E+01
-1.2048876E-01,1.01843E+01
-1.2048408E-01,1.01062E+01
-1.2047940E-01,1.01062E+01
-1.2047472E-01,1.01452E+01
-1.2047004E-01,1.01843E+01
-1.2046536E-01,1.01257E+01
-1.2046068E-01,1.02038E+01
-1.2045600E-01,1.02038E+01
-1.2045132E-01,1.01648E+01
-1.2044664E-01,1.01648E+01
-1.2044196E-01,1.02429E+01
-1.2043728E-01,1.02038E+01
-1.2043260E-01,1.01648E+01
-1.2042792E-01,1.01257E+01
-1.2042324E-01,1.02038E+01
-1.2041856E-01,1.01452E+01
-1.2041388E-01,1.01257E+01
-1.2040920E-01,1.01452E+01
-1.2040452E-01,1.02038E+01
-1.2039984E-01,1.01452E+01
-1.2039516E-01,1.01843E+01
-1.2039048E-01,1.01452E+01
-1.2038580E-01,1.02038E+01
-1.2038112E-01,1.01648E+01
-1.2037644E-01,1.01062E+01
-1.2037176E-01,1.01257E+01
-1.2036708E-01,1.02234E+01
-1.2036240E-01,1.02038E+01
-1.2035772E-01,1.01648E+01
-1.2035304E-01,1.01843E+01
-1.2034836E-01,1.02234E+01
-1.2034368E-01,1.00671E+01
-1.2033900E-01,1.01452E+01
-1.2033432E-01,1.02038E+01
-1.2032964E-01,1.02624E+01
-1.2032496E-01,1.01257E+01
-1.2032028E-01,1.02429E+01
-1.2031560E-01,1.02234E+01
-1.2031092E-01,1.01843E+01
-1.2030624E-01,1.02038E+01
-1.2030156E-01,1.01452E+01
-1.2029688E-01,1.01648E+01
-1.2029220E-01,1.01843E+01
-1.2028752E-01,1.01452E+01
-1.2028284E-01,1.01843E+01
-1.2027816E-01,1.01062E+01
-1.2027348E-01,1.01452E+01
-1.2026880E-01,1.01648E+01
-1.2026412E-01,1.01648E+01
-1.2025944E-01,1.01452E+01
-1.2025476E-01,1.01843E+01
-1.2025008E-01,1.01843E+01
-1.2024540E-01,1.01648E+01
-1.2024072E-01,1.01452E+01
-1.2023604E-01,1.01648E+01
-1.2023136E-01,1.02038E+01
-1.2022668E-01,1.01648E+01
-1.2022200E-01,1.00866E+01
-1.2021732E-01,1.02038E+01
-1.2021264E-01,1.01843E+01
-1.2020796E-01,1.02624E+01
-1.2020328E-01,1.01257E+01
-1.2019860E-01,1.02038E+01
-1.2019392E-01,1.01843E+01
-1.2018924E-01,1.02038E+01
-1.2018456E-01,1.01648E+01
-1.2017988E-01,1.01452E+01
-1.2017520E-01,1.01843E+01
-1.2017052E-01,1.01648E+01
-1.2016584E-01,1.01843E+01
-1.2016116E-01,1.02429E+01
-1.2015648E-01,1.01452E+01
-1.2015180E-01,1.01062E+01
-1.2014712E-01,1.01452E+01
-1.2014244E-01,1.01648E+01
-1.2013776E-01,1.01452E+01
-1.2013308E-01,1.01062E+01
-1.2012840E-01,1.00866E+01
-1.2012372E-01,1.01257E+01
-1.2011904E-01,1.00866E+01
-1.2011436E-01,1.00866E+01
-1.2010968E-01,1.00866E+01
-1.2010500E-01,1.02038E+01
-1.2010032E-01,1.00866E+01
-1.2009564E-01,1.01648E+01
-1.2009096E-01,1.01062E+01
-1.2008628E-01,1.02038E+01
-1.2008160E-01,1.01452E+01
-1.2007692E-01,1.01452E+01
-1.2007224E-01,1.00866E+01
-1.2006756E-01,1.01648E+01
-1.2006288E-01,1.02038E+01
-1.2005820E-01,1.00866E+01
-1.2005352E-01,1.01062E+01
-1.2004884E-01,1.01843E+01
-1.2004416E-01,1.01062E+01
-1.2003948E-01,1.01452E+01
-1.2003480E-01,1.00866E+01
-1.2003012E-01,1.01648E+01
-1.2002544E-01,1.01257E+01
-1.2002076E-01,1.01452E+01
-1.2001608E-01,1.00671E+01
-1.2001140E-01,1.01648E+01
-1.2000672E-01,1.01648E+01
-1.2000204E-01,1.02038E+01
-1.1999736E-01,1.01452E+01
-1.1999268E-01,1.01257E+01
-1.1998800E-01,1.01062E+01
-1.1998332E-01,1.01257E+01
-1.1997864E-01,1.00866E+01
-1.1997396E-01,1.01452E+01
-1.1996928E-01,1.01257E+01
-1.1996460E-01,1.01452E+01
-1.1995992E-01,1.01257E+01
-1.1995524E-01,1.01452E+01
-1.1995056E-01,1.01452E+01
-1.1994588E-01,1.00866E+01
-1.1994120E-01,1.00866E+01
-1.1993652E-01,1.00866E+01
-1.1993184E-01,1.01452E+01
-1.1992716E-01,1.00671E+01
-1.1992248E-01,1.00280E+01
-1.1991780E-01,1.01257E+01
-1.1991312E-01,1.00671E+01
-1.1990844E-01,1.01257E+01
-1.1990376E-01,1.00280E+01
-1.1989908E-01,1.01648E+01
-1.1989440E-01,1.01257E+01
-1.1988972E-01,1.01062E+01
-1.1988504E-01,1.01062E+01
-1.1988036E-01,1.01257E+01
-1.1987568E-01,1.01257E+01
-1.1987100E-01,1.01452E+01
-1.1986632E-01,1.00866E+01
-1.1986164E-01,1.01257E+01
-1.1985696E-01,1.01452E+01
-1.1985228E-01,1.01257E+01
-1.1984760E-01,1.00866E+01
-1.1984292E-01,1.01257E+01
-1.1983824E-01,1.01452E+01
-1.1983356E-01,1.01257E+01
-1.1982888E-01,1.00476E+01
-1.1982420E-01,1.00671E+01
-1.1981952E-01,1.00866E+01
-1.1981484E-01,1.01062E+01
-1.1981016E-01,1.00280E+01
-1.1980548E-01,1.01452E+01
-1.1980080E-01,1.00671E+01
-1.1979612E-01,1.01062E+01
-1.1979144E-01,1.00866E+01
-1.1978676E-01,1.01257E+01
-1.1978208E-01,1.01648E+01
-1.1977740E-01,1.00671E+01
-1.1977272E-01,9.96945E+00
-1.1976804E-01,1.00280E+01
-1.1976336E-01,1.00866E+01
-1.1975868E-01,1.00476E+01
-1.1975400E-01,1.00476E+01
-1.1974932E-01,1.00671E+01
-1.1974464E-01,1.00671E+01
-1.1973996E-01,1.01062E+01
-1.1973528E-01,1.00476E+01
-1.1973060E-01,1.01257E+01
-1.1972592E-01,1.00280E+01
-1.1972124E-01,1.00280E+01
-1.1971656E-01,9.98898E+00
-1.1971188E-01,1.00671E+01
-1.1970720E-01,1.00280E+01
-1.1970252E-01,1.00476E+01
-1.1969784E-01,1.00085E+01
-1.1969316E-01,1.00866E+01
-1.1968848E-01,1.00476E+01
-1.1968380E-01,1.01062E+01
-1.1967912E-01,1.00476E+01
-1.1967444E-01,1.00671E+01
-1.1966976E-01,1.00671E+01
-1.1966508E-01,1.00671E+01
-1.1966040E-01,1.00476E+01
-1.1965572E-01,1.00866E+01
-1.1965104E-01,1.00280E+01
-1.1964636E-01,1.00671E+01
-1.1964168E-01,1.00476E+01
-1.1963700E-01,1.00671E+01
-1.1963232E-01,1.00671E+01
-1.1962764E-01,1.00866E+01
-1.1962296E-01,9.98898E+00
-1.1961828E-01,1.00476E+01
-1.1961360E-01,1.00671E+01
-1.1960892E-01,1.00476E+01
-1.1960424E-01,1.00866E+01
-1.1959956E-01,1.01062E+01
-1.1959488E-01,1.00671E+01
-1.1959020E-01,1.00866E+01
-1.1958552E-01,9.98898E+00
-1.1958084E-01,1.01062E+01
-1.1957616E-01,1.00671E+01
-1.1957148E-01,1.00671E+01
-1.1956680E-01,9.98898E+00
-1.1956212E-01,9.98898E+00
-1.1955744E-01,1.00671E+01
-1.1955276E-01,1.01062E+01
-1.1954808E-01,9.96945E+00
-1.1954340E-01,1.00476E+01
-1.1953872E-01,1.00671E+01
-1.1953404E-01,1.00085E+01
-1.1952936E-01,9.96945E+00
-1.1952468E-01,1.00671E+01
-1.1952000E-01,1.00085E+01
-1.1951532E-01,1.00671E+01
-1.1951064E-01,1.00085E+01
-1.1950596E-01,1.00671E+01
-1.1950128E-01,1.01257E+01
-1.1949660E-01,1.00085E+01
-1.1949192E-01,1.00866E+01
-1.1948724E-01,1.01062E+01
-1.1948256E-01,1.00866E+01
-1.1947788E-01,1.00866E+01
-1.1947320E-01,1.00476E+01
-1.1946852E-01,1.00671E+01
-1.1946384E-01,1.00085E+01
-1.1945916E-01,1.00476E+01
-1.1945448E-01,1.00476E+01
-1.1944980E-01,1.00671E+01
-1.1944512E-01,1.00476E+01
-1.1944044E-01,1.00671E+01
-1.1943576E-01,9.98898E+00
-1.1943108E-01,1.00866E+01
-1.1942640E-01,1.00866E+01
-1.1942172E-01,1.00866E+01
-1.1941704E-01,1.00085E+01
-1.1941236E-01,1.00280E+01
-1.1940768E-01,9.98898E+00
-1.1940300E-01,1.00866E+01
-1.1939832E-01,9.98898E+00
-1.1939364E-01,1.00476E+01
-1.1938896E-01,9.98898E+00
-1.1938428E-01,1.00085E+01
-1.1937960E-01,9.96945E+00
-1.1937492E-01,1.00085E+01
-1.1937024E-01,1.00476E+01
-1.1936556E-01,1.00671E+01
-1.1936088E-01,1.00280E+01
-1.1935620E-01,1.00866E+01
-1.1935152E-01,1.00280E+01
-1.1934684E-01,1.01257E+01
-1.1934216E-01,9.96945E+00
-1.1933748E-01,1.00671E+01
-1.1933280E-01,1.01257E+01
-1.1932812E-01,1.00671E+01
-1.1932344E-01,1.00280E+01
-1.1931876E-01,1.00280E+01
-1.1931408E-01,1.00671E+01
-1.1930940E-01,1.00866E+01
-1.1930472E-01,1.00866E+01
-1.1930004E-01,1.00671E+01
-1.1929536E-01,1.00671E+01
-1.1929068E-01,1.01257E+01
-1.1928600E-01,1.00476E+01
-1.1928132E-01,1.01062E+01
-1.1927664E-01,1.00476E+01
-1.1927196E-01,1.00866E+01
-1.1926728E-01,1.00866E+01
-1.1926260E-01,1.00671E+01
-1.1925792E-01,1.00476E+01
-1.1925324E-01,1.00866E+01
-1.1924856E-01,1.00476E+01
-1.1924388E-01,1.00671E+01
-1.1923920E-01,1.00671E+01
-1.1923452E-01,1.00671E+01
-1.1922984E-01,1.00671E+01
-1.1922516E-01,1.00866E+01
-1.1922048E-01,1.01062E+01
-1.1921580E-01,1.01452E+01
-1.1921112E-01,1.01257E+01
-1.1920644E-01,1.01843E+01
-1.1920176E-01,1.00671E+01
-1.1919708E-01,1.01257E+01
-1.1919240E-01,1.00280E+01
-1.1918772E-01,1.01452E+01
