in s,C2 in V
-2.9996608E-02,1.77051E+00
-2.9992000E-02,1.77051E+00
-2.9987392E-02,1.81934E+00
-2.9982784E-02,1.79004E+00
-2.9978176E-02,1.81934E+00
-2.9973568E-02,1.80957E+00
-2.9968960E-02,1.80957E+00
-2.9964352E-02,1.77051E+00
-2.9959744E-02,1.80957E+00
-2.9955136E-02,1.76074E+00
-2.9950528E-02,1.79004E+00
-2.9945920E-02,1.76074E+00
-2.9941312E-02,1.79004E+00
-2.9936704E-02,1.79004E+00
-2.9932096E-02,1.81934E+00
-2.9927488E-02,1.77051E+00
-2.9922880E-02,1.76074E+00
-2.9918272E-02,1.76074E+00
-2.9913664E-02,1.79980E+00
-2.9909056E-02,1.79004E+00
-2.9904448E-02,1.79980E+00
-2.9899840E-02,1.77051E+00
-2.9895232E-02,1.80957E+00
-2.9890624E-02,1.79980E+00
-2.9886016E-02,1.79980E+00
-2.9881408E-02,1.79004E+00
-2.9876800E-02,1.80957E+00
-2.9872192E-02,1.79980E+00
-2.9867584E-02,1.81934E+00
-2.9862976E-02,1.77051E+00
-2.9858368E-02,1.81934E+00
-2.9853760E-02,1.77051E+00
-2.9849152E-02,1.77051E+00
-2.9844544E-02,1.79004E+00
-2.9839936E-02,1.83887E+00
-2.9835328E-02,1.75098E+00
-2.9830720E-02,1.79004E+00
-2.9826112E-02,1.76074E+00
-2.9821504E-02,1.81934E+00
-2.9816896E-02,1.75098E+00
-2.9812288E-02,1.79980E+00
-2.9807680E-02,1.78027E+00
-2.9803072E-02,1.79004E+00
-2.9798464E-02,1.78027E+00
-2.9793856E-02,1.83887E+00
-2.9789248E-02,1.79980E+00
-2.9784640E-02,1.79980E+00
-2.9780032E-02,1.79004E+00
-2.9775424E-02,1.79004E+00
-2.9770816E-02,1.79980E+00
-2.9766208E-02,1.80957E+00
-2.9761600E-02,1.79980E+00
-2.9756992E-02,1.77051E+00
-2.9752384E-02,1.79980E+00
-2.9747776E-02,1.77051E+00
-2.9743168E-02,1.80957E+00
-2.9738560E-02,1.76074E+00
-2.9733952E-02,1.79004E+00
-2.9729344E-02,1.80957E+00
-2.9724736E-02,1.79004E+00
-2.9720128E-02,1.79004E+00
-2.9715520E-02,1.79004E+00
-2.9710912E-02,1.79004E+00
-2.9706304E-02,1.81934E+00
-2.9701696E-02,1.78027E+00
-2.9697088E-02,1.80957E+00
-2.9692480E-02,1.76074E+00
-2.9687872E-02,1.80957E+00
-2.9683264E-02,1.79004E+00
-2.9678656E-02,1.79980E+00
-2.9674048E-02,1.79980E+00
-2.9669440E-02,1.81934E+00
-2.9664832E-02,1.79004E+00
-2.9660224E-02,1.84863E+00
-2.9655616E-02,1.79004E+00
-2.9651008E-02,1.79980E+00
-2.9646400E-02,1.81934E+00
-2.9641792E-02,1.79980E+00
-2.9637184E-02,1.84863E+00
-2.9632576E-02,1.79980E+00
-2.9627968E-02,1.79980E+00
-2.9623360E-02,1.79004E+00
-2.9618752E-02,1.85840E+00
-2.9614144E-02,1.84863E+00
-2.9609536E-02,1.83887E+00
-2.9604928E-02,1.80957E+00
-2.9600320E-02,1.84863E+00
-2.9595712E-02,1.81934E+00
-2.9591104E-02,1.83887E+00
-2.9586496E-02,1.80957E+00
-2.9581888E-02,1.79004E+00
-2.9577280E-02,1.80957E+00
-2.9572672E-02,1.82910E+00
-2.9568064E-02,1.82910E+00
-2.9563456E-02,1.81934E+00
-2.9558848E-02,1.87793E+00
-2.9554240E-02,1.82910E+00
-2.9549632E-02,1.84863E+00
-2.9545024E-02,1.84863E+00
-2.9540416E-02,1.81934E+00
-2.9535808E-02,1.87793E+00
-2.9531200E-02,1.82910E+00
-2.9526592E-02,1.82910E+00
-2.9521984E-02,1.84863E+00
-2.9517376E-02,1.86816E+00
-2.9512768E-02,1.83887E+00
-2.9508160E-02,1.86816E+00
-2.9503552E-02,1.85840E+00
-2.9498944E-02,1.86816E+00
-2.9494336E-02,1.88770E+00
-2.9489728E-02,1.88770E+00
-2.9485120E-02,1.85840E+00
-2.9480512E-02,1.83887E+00
-2.9475904E-02,1.88770E+00
-2.9471296E-02,1.87793E+00
-2.9466688E-02,1.88770E+00
-2.9462080E-02,1.83887E+00
-2.9457472E-02,1.88770E+00
-2.9452864E-02,1.85840E+00
-2.9448256E-02,1.88770E+00
-2.9443648E-02,1.92676E+00
-2.9439040E-02,1.85840E+00
-2.9434432E-02,1.90723E+00
-2.9429824E-02,1.86816E+00
-2.9425216E-02,1.88770E+00
-2.9420608E-02,1.86816E+00
-2.9416000E-02,1.91699E+00
