in s,C2 in V
-1.09735980E+00,7.91016E-01
-1.09735056E+00,8.10547E-01
-1.09734132E+00,7.51953E-01
-1.09733208E+00,7.91016E-01
-1.09732284E+00,6.54297E-01
-1.09731360E+00,6.73828E-01
-1.09730436E+00,6.54297E-01
-1.09729512E+00,6.15234E-01
-1.09728588E+00,5.95703E-01
-1.09727664E+00,4.78516E-01
-1.09726740E+00,3.22266E-01
-1.09725816E+00,1.07422E-01
-1.09724892E+00,-8.78906E-02
-1.09723968E+00,-2.44141E-01
-1.09723044E+00,-4.39453E-01
-1.09722120E+00,-5.76172E-01
-1.09721196E+00,-7.32422E-01
-1.09720272E+00,-7.12891E-01
-1.09719348E+00,-6.73828E-01
-1.09718424E+00,-7.71484E-01
-1.09717500E+00,-7.91016E-01
-1.09716576E+00,-7.32422E-01
-1.09715652E+00,-7.12891E-01
-1.09714728E+00,-8.10547E-01
-1.09713804E+00,-9.27734E-01
-1.09712880E+00,-9.47266E-01
-1.09711956E+00,-9.66797E-01
-1.09711032E+00,-8.88672E-01
-1.09710108E+00,-8.69141E-01
-1.09709184E+00,-4.98047E-01
-1.09708260E+00,-2.63672E-01
-1.09707336E+00,1.26953E-01
-1.09706412E+00,3.61328E-01
-1.09705488E+00,5.76172E-01
-1.09704564E+00,7.71484E-01
-1.09703640E+00,8.49609E-01
-1.09702716E+00,7.32422E-01
-1.09701792E+00,8.10547E-01
-1.09700868E+00,6.54297E-01
-1.09699944E+00,7.12891E-01
-1.09699020E+00,6.54297E-01
-1.09698096E+00,6.93359E-01
-1.09697172E+00,6.54297E-01
-1.09696248E+00,6.15234E-01
-1.09695324E+00,4.98047E-01
-1.09694400E+00,4.58984E-01
-1.09693476E+00,2.24609E-01
-1.09692552E+00,1.85547E-01
-1.09691628E+00,-8.78906E-02
-1.09690704E+00,-2.24609E-01
-1.09689780E+00,-3.61328E-01
-1.09688856E+00,-4.98047E-01
-1.09687932E+00,-6.54297E-01
-1.09687008E+00,-6.73828E-01
-1.09686084E+00,-6.54297E-01
-1.09685160E+00,-6.34766E-01
-1.09684236E+00,-7.91016E-01
-1.09683312E+00,-7.12891E-01
-1.09682388E+00,-8.10547E-01
-1.09681464E+00,-7.71484E-01
-1.09680540E+00,-8.30078E-01
-1.09679616E+00,-8.69141E-01
-1.09678692E+00,-9.47266E-01
-1.09677768E+00,-9.66797E-01
-1.09676844E+00,-7.91016E-01
-1.09675920E+00,-5.37109E-01
-1.09674996E+00,-3.41797E-01
-1.09674072E+00,4.88281E-02
-1.09673148E+00,3.61328E-01
-1.09672224E+00,6.15234E-01
-1.09671300E+00,7.91016E-01
-1.09670376E+00,7.91016E-01
-1.09669452E+00,7.71484E-01
-1.09668528E+00,7.51953E-01
-1.09667604E+00,7.91016E-01
-1.09666680E+00,6.73828E-01
-1.09665756E+00,6.15234E-01
-1.09664832E+00,7.12891E-01
-1.09663908E+00,6.54297E-01
-1.09662984E+00,5.76172E-01
-1.09662060E+00,4.58984E-01
-1.09661136E+00,5.37109E-01
-1.09660212E+00,3.80859E-01
-1.09659288E+00,2.05078E-01
-1.09658364E+00,-6.83594E-02
-1.09657440E+00,-2.63672E-01
-1.09656516E+00,-3.80859E-01
-1.09655592E+00,-5.37109E-01
-1.09654668E+00,-5.95703E-01
-1.09653744E+00,-6.15234E-01
-1.09652820E+00,-6.54297E-01
-1.09651896E+00,-7.51953E-01
-1.09650972E+00,-7.51953E-01
-1.09650048E+00,-7.12891E-01
-1.09649124E+00,-7.91016E-01
-1.09648200E+00,-8.30078E-01
-1.09647276E+00,-8.69141E-01
-1.09646352E+00,-8.69141E-01
-1.09645428E+00,-8.69141E-01
-1.09644504E+00,-9.27734E-01
-1.09643580E+00,-8.10547E-01
-1.09642656E+00,-5.37109E-01
-1.09641732E+00,-3.41797E-01
-1.09640808E+00,2.92969E-02
-1.09639884E+00,3.22266E-01
-1.09638960E+00,5.76172E-01
-1.09638036E+00,7.51953E-01
-1.09637112E+00,7.91016E-01
-1.09636188E+00,7.32422E-01
-1.09635264E+00,7.91016E-01
-1.09634340E+00,7.51953E-01
-1.09633416E+00,7.71484E-01
-1.09632492E+00,7.51953E-01
-1.09631568E+00,6.93359E-01
-1.09630644E+00,6.54297E-01
-1.09629720E+00,7.12891E-01
-1.09628796E+00,5.37109E-01
-1.09627872E+00,4.58984E-01
-1.09626948E+00,2.63672E-01
-1.09626024E+00,1.66016E-01
-1.09625100E+00,-4.88281E-02
-1.09624176E+00,-2.83203E-01
-1.09623252E+00,-3.80859E-01
-1.09622328E+00,-4.98047E-01
-1.09621404E+00,-6.34766E-01
-1.09620480E+00,-6.93359E-01
-1.09619556E+00,-6.54297E-01
-1.09618632E+00,-6.34766E-01
-1.09617708E+00,-7.51953E-01
-1.09616784E+00,-7.91016E-01
-1.09615860E+00,-8.49609E-01
-1.09614936E+00,-7.51953E-01
-1.09614012E+00,-8.49609E-01
-1.09613088E+00,-9.08203E-01
-1.09612164E+00,-9.86328E-01
-1.09611240E+00,-9.66797E-01
-1.09610316E+00,-8.49609E-01
-1.09609392E+00,-7.12891E-01
-1.09608468E+00,-2.83203E-01
-1.09607544E+00,4.88281E-02
-1.09606620E+00,2.83203E-01
-1.09605696E+00,5.95703E-01
-1.09604772E+00,7.12891E-01
-1.09603848E+00,7.91016E-01
-1.09602924E+00,8.10547E-01
-1.09602000E+00,8.49609E-01
-1.09601076E+00,8.10547E-01
-1.09600152E+00,8.30078E-01
-1.09599228E+00,7.32422E-01
-1.09598304E+00,7.51953E-01
-1.09597380E+00,6.93359E-01
-1.09596456E+00,6.93359E-01
-1.09595532E+00,5.76172E-01
-1.09594608E+00,4.98047E-01
-1.09593684E+00,4.00391E-01
-1.09592760E+00,1.85547E-01
-1.09591836E+00,-6.83594E-02
-1.09590912E+00,-2.24609E-01
-1.09589988E+00,-3.22266E-01
-1.09589064E+00,-4.98047E-01
-1.09588140E+00,-6.54297E-01
-1.09587216E+00,-6.54297E-01
-1.09586292E+00,-6.93359E-01
-1.09585368E+00,-6.54297E-01
-1.09584444E+00,-7.71484E-01
-1.09583520E+00,-7.71484E-01
-1.09582596E+00,-7.12891E-01
-1.09581672E+00,-7.71484E-01
-1.09580748E+00,-7.32422E-01
-1.09579824E+00,-7.91016E-01
-1.09578900E+00,-9.27734E-01
-1.09577976E+00,-9.27734E-01
-1.09577052E+00,-9.08203E-01
-1.09576128E+00,-6.15234E-01
-1.09575204E+00,-3.80859E-01
-1.09574280E+00,2.92969E-02
-1.09573356E+00,2.83203E-01
-1.09572432E+00,5.95703E-01
-1.09571508E+00,6.93359E-01
-1.09570584E+00,7.91016E-01
-1.09569660E+00,8.10547E-01
-1.09568736E+00,7.71484E-01
-1.09567812E+00,7.12891E-01
-1.09566888E+00,8.49609E-01
-1.09565964E+00,6.93359E-01
-1.09565040E+00,7.71484E-01
-1.09564116E+00,7.51953E-01
-1.09563192E+00,6.54297E-01
-1.09562268E+00,6.15234E-01
-1.09561344E+00,4.98047E-01
-1.09560420E+00,3.41797E-01
-1.09559496E+00,2.44141E-01
-1.09558572E+00,-2.92969E-02
-1.09557648E+00,-2.44141E-01
-1.09556724E+00,-3.02734E-01
-1.09555800E+00,-5.17578E-01
-1.09554876E+00,-6.34766E-01
-1.09553952E+00,-6.73828E-01
-1.09553028E+00,-7.32422E-01
-1.09552104E+00,-6.73828E-01
-1.09551180E+00,-7.51953E-01
-1.09550256E+00,-7.12891E-01
-1.09549332E+00,-7.12891E-01
-1.09548408E+00,-7.71484E-01
-1.09547484E+00,-8.88672E-01
-1.09546560E+00,-8.49609E-01
-1.09545636E+00,-8.88672E-01
-1.09544712E+00,-9.66797E-01
-1.09543788E+00,-9.27734E-01
-1.09542864E+00,-6.34766E-01
-1.09541940E+00,-3.61328E-01
-1.09541016E+00,9.76562E-03
-1.09540092E+00,2.83203E-01
-1.09539168E+00,5.17578E-01
-1.09538244E+00,6.93359E-01
-1.09537320E+00,7.91016E-01
-1.09536396E+00,7.32422E-01
-1.09535472E+00,7.91016E-01
-1.09534548E+00,7.32422E-01
-1.09533624E+00,7.71484E-01
-1.09532700E+00,7.51953E-01
-1.09531776E+00,7.12891E-01
-1.09530852E+00,6.73828E-01
-1.09529928E+00,6.54297E-01
-1.09529004E+00,5.76172E-01
-1.09528080E+00,4.98047E-01
-1.09527156E+00,3.80859E-01
-1.09526232E+00,1.66016E-01
-1.09525308E+00,-9.76562E-03
-1.09524384E+00,-1.85547E-01
-1.09523460E+00,-3.41797E-01
-1.09522536E+00,-3.80859E-01
-1.09521612E+00,-6.93359E-01
-1.09520688E+00,-5.95703E-01
-1.09519764E+00,-7.12891E-01
-1.09518840E+00,-6.93359E-01
-1.09517916E+00,-7.51953E-01
-1.09516992E+00,-7.32422E-01
-1.09516068E+00,-7.12891E-01
-1.09515144E+00,-8.69141E-01
-1.09514220E+00,-8.69141E-01
-1.09513296E+00,-8.69141E-01
-1.09512372E+00,-8.30078E-01
-1.09511448E+00,-9.47266E-01
-1.09510524E+00,-8.69141E-01
-1.09509600E+00,-6.73828E-01
-1.09508676E+00,-4.78516E-01
-1.09507752E+00,-2.92969E-02
-1.09506828E+00,2.63672E-01
-1.09505904E+00,4.58984E-01
-1.09504980E+00,7.32422E-01
-1.09504056E+00,8.49609E-01
-1.09503132E+00,7.91016E-01
-1.09502208E+00,8.49609E-01
-1.09501284E+00,8.30078E-01
-1.09500360E+00,7.91016E-01
-1.09499436E+00,6.54297E-01
-1.09498512E+00,6.93359E-01
-1.09497588E+00,6.54297E-01
-1.09496664E+00,6.15234E-01
-1.09495740E+00,5.76172E-01
-1.09494816E+00,4.98047E-01
-1.09493892E+00,3.22266E-01
-1.09492968E+00,2.44141E-01
-1.09492044E+00,-6.83594E-02
-1.09491120E+00,-6.83594E-02
-1.09490196E+00,-3.41797E-01
-1.09489272E+00,-4.98047E-01
-1.09488348E+00,-6.34766E-01
-1.09487424E+00,-6.54297E-01
-1.09486500E+00,-6.34766E-01
-1.09485576E+00,-6.73828E-01
-1.09484652E+00,-6.93359E-01
-1.09483728E+00,-7.12891E-01
-1.09482804E+00,-7.32422E-01
-1.09481880E+00,-7.91016E-01
-1.09480956E+00,-8.49609E-01
-1.09480032E+00,-8.49609E-01
-1.09479108E+00,-8.88672E-01
-1.09478184E+00,-9.66797E-01
-1.09477260E+00,-9.47266E-01
-1.09476336E+00,-6.73828E-01
-1.09475412E+00,-4.19922E-01
-1.09474488E+00,-4.88281E-02
-1.09473564E+00,2.24609E-01
-1.09472640E+00,4.58984E-01
-1.09471716E+00,6.73828E-01
-1.09470792E+00,8.49609E-01
-1.09469868E+00,8.69141E-01
-1.09468944E+00,8.30078E-01
-1.09468020E+00,7.91016E-01
-1.09467096E+00,7.71484E-01
-1.09466172E+00,6.54297E-01
-1.09465248E+00,7.71484E-01
-1.09464324E+00,6.54297E-01
-1.09463400E+00,6.34766E-01
-1.09462476E+00,5.76172E-01
-1.09461552E+00,4.78516E-01
-1.09460628E+00,3.41797E-01
-1.09459704E+00,2.44141E-01
-1.09458780E+00,-2.92969E-02
-1.09457856E+00,-1.07422E-01
-1.09456932E+00,-3.61328E-01
-1.09456008E+00,-5.17578E-01
-1.09455084E+00,-5.95703E-01
-1.09454160E+00,-5.76172E-01
-1.09453236E+00,-7.32422E-01
-1.09452312E+00,-7.51953E-01
-1.09451388E+00,-6.93359E-01
-1.09450464E+00,-7.71484E-01
-1.09449540E+00,-7.51953E-01
-1.09448616E+00,-7.32422E-01
-1.09447692E+00,-9.27734E-01
-1.09446768E+00,-7.91016E-01
-1.09445844E+00,-8.30078E-01
-1.09444920E+00,-9.08203E-01
-1.09443996E+00,-9.27734E-01
-1.09443072E+00,-7.12891E-01
-1.09442148E+00,-4.00391E-01
-1.09441224E+00,-1.26953E-01
-1.09440300E+00,1.46484E-01
-1.09439376E+00,5.56641E-01
-1.09438452E+00,6.34766E-01
-1.09437528E+00,7.91016E-01
-1.09436604E+00,7.71484E-01
-1.09435680E+00,7.51953E-01
-1.09434756E+00,8.49609E-01
-1.09433832E+00,7.71484E-01
-1.09432908E+00,6.54297E-01
-1.09431984E+00,7.91016E-01
-1.09431060E+00,6.73828E-01
-1.09430136E+00,6.93359E-01
-1.09429212E+00,5.76172E-01
-1.09428288E+00,5.17578E-01
-1.09427364E+00,4.19922E-01
-1.09426440E+00,2.83203E-01
-1.09425516E+00,2.92969E-02
-1.09424592E+00,-8.78906E-02
-1.09423668E+00,-3.41797E-01
-1.09422744E+00,-4.78516E-01
-1.09421820E+00,-5.56641E-01
-1.09420896E+00,-6.54297E-01
-1.09419972E+00,-6.73828E-01
-1.09419048E+00,-5.95703E-01
-1.09418124E+00,-7.12891E-01
-1.09417200E+00,-7.12891E-01
-1.09416276E+00,-7.91016E-01
-1.09415352E+00,-7.71484E-01
-1.09414428E+00,-9.08203E-01
-1.09413504E+00,-9.08203E-01
-1.09412580E+00,-9.66797E-01
-1.09411656E+00,-9.47266E-01
-1.09410732E+00,-9.08203E-01
