in s,C2 in V
1.4503424E-02,1.98242E-01
1.4508032E-02,1.39648E-01
1.4512640E-02,1.39648E-01
1.4517248E-02,1.68945E-01
1.4521856E-02,1.68945E-01
1.4526464E-02,1.59180E-01
1.4531072E-02,1.59180E-01
1.4535680E-02,1.59180E-01
1.4540288E-02,1.39648E-01
1.4544896E-02,1.39648E-01
1.4549504E-02,1.29883E-01
1.4554112E-02,1.49414E-01
1.4558720E-02,1.68945E-01
1.4563328E-02,1.10352E-01
1.4567936E-02,1.39648E-01
1.4572544E-02,1.49414E-01
1.4577152E-02,1.39648E-01
1.4581760E-02,1.68945E-01
1.4586368E-02,1.10352E-01
1.4590976E-02,1.98242E-01
1.4595584E-02,1.39648E-01
1.4600192E-02,1.68945E-01
1.4604800E-02,1.10352E-01
1.4609408E-02,1.29883E-01
1.4614016E-02,1.20117E-01
1.4618624E-02,1.78711E-01
1.4623232E-02,1.59180E-01
1.4627840E-02,1.49414E-01
1.4632448E-02,1.29883E-01
1.4637056E-02,1.59180E-01
1.4641664E-02,1.10352E-01
1.4646272E-02,1.68945E-01
1.4650880E-02,1.59180E-01
1.4655488E-02,1.49414E-01
1.4660096E-02,1.49414E-01
1.4664704E-02,1.49414E-01
1.4669312E-02,1.39648E-01
1.4673920E-02,1.49414E-01
1.4678528E-02,1.49414E-01
1.4683136E-02,1.39648E-01
1.4687744E-02,1.49414E-01
1.4692352E-02,1.49414E-01
1.4696960E-02,1.39648E-01
1.4701568E-02,2.08008E-01
1.4706176E-02,1.49414E-01
1.4710784E-02,1.10352E-01
1.4715392E-02,1.20117E-01
1.4720000E-02,1.49414E-01
1.4724608E-02,1.20117E-01
1.4729216E-02,1.10352E-01
1.4733824E-02,1.39648E-01
1.4738432E-02,1.59180E-01
1.4743040E-02,1.78711E-01
1.4747648E-02,1.29883E-01
1.4752256E-02,1.88477E-01
1.4756864E-02,1.49414E-01
1.4761472E-02,1.20117E-01
1.4766080E-02,1.00586E-01
1.4770688E-02,1.88477E-01
1.4775296E-02,1.49414E-01
1.4779904E-02,1.59180E-01
1.4784512E-02,1.10352E-01
