in s,C1 in V,C2 in V
-1.223564E-03,-2.8043518E-02,-1.6592081E+00
-1.220284E-03,-2.7585754E-02,-1.6547830E+00
-1.217004E-03,-2.6670227E-02,-1.6502817E+00
-1.213724E-03,-2.7204285E-02,-1.6445596E+00
-1.210444E-03,-2.6365051E-02,-1.6382272E+00
-1.207164E-03,-2.7585754E-02,-1.6311319E+00
-1.203884E-03,-2.7280579E-02,-1.6235025E+00
-1.200604E-03,-2.6212463E-02,-1.6146524E+00
-1.197324E-03,-2.4915466E-02,-1.6066415E+00
-1.194044E-03,-2.4915466E-02,-1.5971048E+00
-1.190764E-03,-2.5373230E-02,-1.5865762E+00
-1.187484E-03,-2.5602112E-02,-1.5751321E+00
-1.184204E-03,-2.5144348E-02,-1.5631540E+00
-1.180924E-03,-2.5220642E-02,-1.5507181E+00
-1.177644E-03,-2.5068054E-02,-1.5382059E+00
-1.174364E-03,-2.5907288E-02,-1.5250833E+00
-1.171084E-03,-2.4381409E-02,-1.5096719E+00
-1.167804E-03,-2.5220642E-02,-1.4947183E+00
-1.164524E-03,-2.4610291E-02,-1.4786203E+00
-1.161244E-03,-2.5296936E-02,-1.4612253E+00
-1.157964E-03,-2.4381409E-02,-1.4445932E+00
-1.154684E-03,-2.5830994E-02,-1.4265115E+00
-1.151404E-03,-2.4305115E-02,-1.4076669E+00
-1.148124E-03,-2.5373230E-02,-1.3885172E+00
-1.144844E-03,-2.2474060E-02,-1.3695200E+00
-1.141564E-03,-2.3465881E-02,-1.3496835E+00
-1.138284E-03,-2.2474060E-02,-1.3287790E+00
-1.135004E-03,-2.3618469E-02,-1.3074167E+00
-1.131724E-03,-2.1940002E-02,-1.2859018E+00
-1.128444E-03,-2.2397766E-02,-1.2637003E+00
-1.125164E-03,-2.1177063E-02,-1.2399728E+00
-1.121884E-03,-2.2168884E-02,-1.2178476E+00
-1.118604E-03,-2.1787415E-02,-1.1934335E+00
-1.115324E-03,-2.3618469E-02,-1.1686380E+00
-1.112044E-03,-2.1634827E-02,-1.1437662E+00
-1.108764E-03,-2.1711121E-02,-1.1184366E+00
-1.105484E-03,-2.1177063E-02,-1.0921915E+00
-1.102204E-03,-2.2550354E-02,-1.0654886E+00
-1.098924E-03,-2.0337830E-02,-1.0382516E+00
-1.095644E-03,-2.1177063E-02,-1.0107095E+00
-1.092364E-03,-1.8811951E-02,-9.8270966E-01
-1.089084E-03,-2.0261536E-02,-9.5463348E-01
-1.085804E-03,-1.9346008E-02,-9.2442108E-01
-1.082524E-03,-1.9880066E-02,-8.9596344E-01
-1.079244E-03,-1.7514954E-02,-8.6674286E-01
-1.075964E-03,-1.7209778E-02,-8.3759857E-01
-1.072684E-03,-1.4615784E-02,-8.0700470E-01
-1.069404E-03,-1.5760193E-02,-7.7679230E-01
-1.066124E-03,-1.5149841E-02,-7.4505402E-01
-1.062844E-03,-1.6752014E-02,-7.1407867E-01
-1.059564E-03,-1.6294250E-02,-6.8195892E-01
-1.056284E-03,-1.6752014E-02,-6.4991547E-01
-1.053004E-03,-1.5760193E-02,-6.1695648E-01
-1.049724E-03,-1.6828308E-02,-5.8651520E-01
-1.046444E-03,-1.4539490E-02,-5.5279327E-01
-1.043164E-03,-1.5149841E-02,-5.2006317E-01
-1.039884E-03,-1.3700256E-02,-4.8557831E-01
-1.036604E-03,-1.4997253E-02,-4.5315338E-01
-1.033324E-03,-1.3242493E-02,-4.1798187E-01
-1.030044E-03,-1.4158020E-02,-3.8479401E-01
-1.026764E-03,-1.1640320E-02,-3.4985138E-01
-1.023484E-03,-1.2021790E-02,-3.1582428E-01
-1.020204E-03,-1.0572205E-02,-2.8149200E-01
-1.016924E-03,-1.2326965E-02,-2.4685455E-01
-1.013644E-03,-1.1335144E-02,-2.1198822E-01
-1.010364E-03,-1.2250671E-02,-1.7826630E-01
-1.007084E-03,-8.7411499E-03,-1.4301849E-01
-1.003804E-03,-9.6566772E-03,-1.0891510E-01
-1.000524E-03,-7.9019165E-03,-7.2904358E-02
-9.972440E-04,-9.5803833E-03,-3.8953552E-02
-9.939640E-04,-7.3678589E-03,-2.9428101E-03
-9.906840E-04,-9.1226196E-03,3.0779114E-02
-9.874040E-04,-7.5967407E-03,6.6026917E-02
-9.841240E-04,-8.8937378E-03,9.9062195E-02
-9.808440E-04,-6.8338013E-03,1.3545441E-01
-9.775640E-04,-7.2915649E-03,1.6864227E-01
-9.742840E-04,-4.6212769E-03,2.0358490E-01
-9.710040E-04,-5.5368042E-03,2.3723053E-01
-9.677240E-04,-4.5449829E-03,2.7232574E-01
-9.644440E-04,-5.7656860E-03,3.0505585E-01
-9.611640E-04,-4.1635132E-03,3.4152435E-01
-9.578840E-04,-4.0109253E-03,3.7509369E-01
-9.546040E-04,-1.9509888E-03,4.1018890E-01
-9.513240E-04,-2.7139282E-03,4.4330048E-01
-9.480440E-04,-1.7221069E-03,4.7755646E-01
-9.447640E-04,-2.7902222E-03,5.1043915E-01
-9.414840E-04,-1.0354614E-03,5.4408478E-01
-9.382040E-04,-1.1117554E-03,5.7673859E-01
-9.349240E-04,-1.1993408E-04,6.1000275E-01
-9.316440E-04,-1.1880493E-03,6.4212250E-01
-9.283640E-04,-5.0140381E-04,6.7523407E-01
-9.250840E-04,1.8524170E-04,7.0605682E-01
-9.218040E-04,2.6266479E-03,7.3871063E-01
-9.185240E-04,2.0925903E-03,7.7014374E-01
-9.152440E-04,2.2451782E-03,8.0226349E-01
-9.119640E-04,2.5503540E-03,8.3270477E-01
-9.086840E-04,3.9999390E-03,8.6299347E-01
-9.054040E-04,5.1443481E-03,8.9244293E-01
-9.021240E-04,7.4331665E-03,9.2189240E-01
-8.988440E-04,6.4413452E-03,9.5096039E-01
-8.955640E-04,6.3650513E-03,9.8010468E-01
-8.922840E-04,5.6784058E-03,1.0077231E+00
-8.890040E-04,6.7465210E-03,1.0366385E+00
-8.857240E-04,7.4331665E-03,1.0637991E+00
-8.824440E-04,7.2805786E-03,1.0918753E+00
-8.791640E-04,8.8064575E-03,1.1175864E+00
-8.758840E-04,8.4249878E-03,1.1439078E+00
-8.726040E-04,9.4168091E-03,1.1696951E+00
-8.693240E-04,9.2642212E-03,1.1961691E+00
-8.660440E-04,9.4168091E-03,1.2205069E+00
-8.627640E-04,9.6456909E-03,1.2450735E+00
-8.594840E-04,1.0866394E-02,1.2688773E+00
-8.562040E-04,1.1400452E-02,1.2922995E+00
-8.529240E-04,1.2621155E-02,1.3144247E+00
-8.496440E-04,1.3536682E-02,1.3379233E+00
-8.463640E-04,1.2926331E-02,1.3594382E+00
-8.430840E-04,1.2392273E-02,1.3797324E+00
-8.398040E-04,1.3536682E-02,1.4005606E+00
-8.365240E-04,1.4833679E-02,1.4203970E+00
-8.332440E-04,1.5291443E-02,1.4391653E+00
-8.299640E-04,1.4299622E-02,1.4584677E+00
-8.266840E-04,1.5367737E-02,1.4767020E+00
-8.234040E-04,1.3384094E-02,1.4947073E+00
-8.201240E-04,1.5062561E-02,1.5116446E+00
-8.168440E-04,1.4833679E-02,1.5276663E+00
-8.135640E-04,1.5520325E-02,1.5433829E+00
-8.102840E-04,1.4986267E-02,1.5584128E+00
-8.070040E-04,1.6893616E-02,1.5719168E+00
-8.037240E-04,1.6664734E-02,1.5858023E+00
-8.004440E-04,1.8572083E-02,1.5986197E+00
-7.971640E-04,1.8114319E-02,1.6109030E+00
-7.938840E-04,1.9182434E-02,1.6226523E+00
-7.906040E-04,1.8572083E-02,1.6340201E+00
-7.873240E-04,2.0174255E-02,1.6444724E+00
-7.840440E-04,2.1013489E-02,1.6541617E+00
-7.807640E-04,2.1700134E-02,1.6633170E+00
-7.774840E-04,2.0632019E-02,1.6723196E+00
-7.742040E-04,2.2310486E-02,1.6797964E+00
-7.709240E-04,2.1394958E-02,1.6862814E+00
-7.676440E-04,2.3531189E-02,1.6933768E+00
-7.643640E-04,2.1852722E-02,1.6986411E+00
-7.610840E-04,2.3378601E-02,1.7042868E+00
-7.578040E-04,2.1929016E-02,1.7079489E+00
-7.545240E-04,2.4751892E-02,1.7105429E+00
-7.512440E-04,2.3531189E-02,1.7144339E+00
-7.479640E-04,2.4599304E-02,1.7155020E+00
-7.446840E-04,2.3607483E-02,1.7161124E+00
-7.414040E-04,2.4599304E-02,1.7169516E+00
-7.381240E-04,2.5285950E-02,1.7171805E+00
-7.348440E-04,2.7651062E-02,1.7152731E+00
-7.315640E-04,2.6888123E-02,1.7141287E+00
-7.282840E-04,2.7040710E-02,1.7126028E+00
-7.250040E-04,2.5591125E-02,1.7084830E+00
-7.217240E-04,2.6888123E-02,1.7060416E+00
-7.184440E-04,2.6888123E-02,1.7007010E+00
-7.151640E-04,2.8185120E-02,1.6956656E+00
-7.118840E-04,2.7422180E-02,1.6894095E+00
-7.086040E-04,2.9253235E-02,1.6833060E+00
-7.053240E-04,2.7803650E-02,1.6752951E+00
-7.020440E-04,2.9405823E-02,1.6678946E+00
-6.987640E-04,2.8032532E-02,1.6584341E+00
-6.954840E-04,2.9634705E-02,1.6503470E+00
-6.922040E-04,2.7879944E-02,1.6399710E+00
-6.889240E-04,2.9863586E-02,1.6289084E+00
-6.856440E-04,2.9024353E-02,1.6176169E+00
-6.823640E-04,3.2152405E-02,1.6069357E+00
-6.790840E-04,3.0397644E-02,1.5934317E+00
-6.758040E-04,3.1694641E-02,1.5807669E+00
