in s,C1 in V,C2 in V
8.240739E-02,7.5607300E-03,3.7247467E-01
8.241066E-02,-1.5182495E-03,3.3669281E-01
8.241394E-02,-9.6817017E-03,3.0113983E-01
8.241722E-02,-1.6242981E-02,2.6535797E-01
8.242049E-02,-2.3796082E-02,2.2873688E-01
8.242377E-02,-3.1044006E-02,1.9287872E-01
8.242705E-02,-3.8291931E-02,1.5854645E-01
8.243032E-02,-4.5387268E-02,1.2177277E-01
8.243360E-02,-5.0270081E-02,8.5762024E-02
8.243688E-02,-5.8357239E-02,5.0285339E-02
8.244015E-02,-6.4384460E-02,1.4656067E-02
8.244343E-02,-6.8733215E-02,-2.0057678E-02
8.244671E-02,-7.4073792E-02,-5.5305481E-02
8.244998E-02,-7.8804016E-02,-8.9790344E-02
8.245326E-02,-8.2695007E-02,-1.2442780E-01
8.245654E-02,-8.7425232E-02,-1.5914154E-01
8.245981E-02,-9.1773987E-02,-1.9217682E-01
8.246309E-02,-9.4749451E-02,-2.2605133E-01
8.246637E-02,-9.7801208E-02,-2.6053619E-01
8.246964E-02,-1.0138702E-01,-2.9334259E-01
8.247292E-02,-1.0413361E-01,-3.2668304E-01
8.247620E-02,-1.0665131E-01,-3.5819244E-01
8.247948E-02,-1.0863495E-01,-3.9054108E-01
8.248275E-02,-1.1038971E-01,-4.2243195E-01
8.248603E-02,-1.1244965E-01,-4.5355988E-01
8.248931E-02,-1.1397552E-01,-4.8445892E-01
8.249258E-02,-1.1504364E-01,-5.1497650E-01
8.249586E-02,-1.1428070E-01,-5.4488373E-01
8.249914E-02,-1.1618805E-01,-5.7547760E-01
8.250241E-02,-1.1687469E-01,-6.0561371E-01
8.250569E-02,-1.1702728E-01,-6.3368988E-01
8.250897E-02,-1.1557770E-01,-6.6268158E-01
8.251224E-02,-1.1511993E-01,-6.9182587E-01
8.251552E-02,-1.1466217E-01,-7.1829987E-01
8.251880E-02,-1.1290741E-01,-7.4652863E-01
8.252207E-02,-1.1252594E-01,-7.7315521E-01
