in s,C1 in V,C2 in V
-1.007171E-02,6.230286E-03,-6.2235382E-01
-1.006843E-02,4.826477E-03,-6.1144379E-01
-1.006515E-02,4.963806E-03,-5.9992340E-01
-1.006188E-02,3.453186E-03,-5.8886078E-01
-1.005860E-02,3.880432E-03,-5.7642487E-01
-1.005532E-02,1.591614E-03,-5.6383636E-01
-1.005204E-02,2.308777E-03,-5.5223969E-01
-1.004877E-02,3.556519E-04,-5.3926971E-01
-1.004549E-02,4.699707E-06,-5.2629974E-01
-1.004221E-02,-1.658508E-03,-5.1294830E-01
-1.003894E-02,-2.268860E-03,-4.9936798E-01
-1.003566E-02,-3.886292E-03,-4.8586395E-01
-1.003238E-02,-3.474304E-03,-4.7182587E-01
-1.002911E-02,-6.190369E-03,-4.5809296E-01
-1.002583E-02,-6.663391E-03,-4.4291046E-01
-1.002255E-02,-8.875916E-03,-4.2910126E-01
-1.001928E-02,-9.791443E-03,-4.1346100E-01
-1.001600E-02,-1.188190E-02,-3.9789703E-01
-1.001272E-02,-1.284320E-02,-3.8240936E-01
-1.000945E-02,-1.397235E-02,-3.6776093E-01
-1.000617E-02,-1.595599E-02,-3.5234955E-01
-1.000289E-02,-1.812274E-02,-3.3655670E-01
-9.999616E-03,-1.955707E-02,-3.2160309E-01
-9.996339E-03,-2.157123E-02,-3.0527618E-01
-9.993062E-03,-2.405841E-02,-2.8887299E-01
-9.989786E-03,-2.581317E-02,-2.7132538E-01
-9.986509E-03,-2.886493E-02,-2.5621918E-01
-9.983232E-03,-3.051288E-02,-2.3966339E-01
-9.979955E-03,-3.292377E-02,-2.2387054E-01
-9.976678E-03,-3.516681E-02,-2.0746735E-01
-9.973402E-03,-3.834064E-02,-1.9129303E-01
-9.970125E-03,-4.123981E-02,-1.7389801E-01
-9.966848E-03,-4.372699E-02,-1.5749481E-01
-9.963571E-03,-4.679401E-02,-1.3979462E-01
-9.960294E-03,-4.978473E-02,-1.2339142E-01
-9.957018E-03,-5.173785E-02,-1.0691193E-01
-9.953741E-03,-5.584247E-02,-9.0737610E-02
-9.950464E-03,-5.897052E-02,-7.3037415E-02
-9.947187E-03,-6.199176E-02,-5.6100159E-02
-9.943910E-03,-6.469257E-02,-3.8323669E-02
-9.940634E-03,-6.830890E-02,-2.0623474E-02
-9.937357E-03,-7.165057E-02,-3.0758667E-03
-9.934080E-03,-7.624347E-02,1.4776917E-02
-9.930803E-03,-7.892902E-02,3.3011169E-02
-9.927526E-03,-8.202655E-02,5.0406189E-02
-9.924250E-03,-8.481891E-02,6.7801208E-02
-9.920973E-03,-8.947284E-02,8.4662170E-02
-9.917696E-03,-9.241779E-02,1.0266754E-01
-9.914419E-03,-9.731586E-02,1.1937592E-01
-9.911142E-03,-1.003066E-01,1.3791534E-01
-9.907866E-03,-1.055861E-01,1.5508148E-01
-9.904589E-03,-1.075545E-01,1.7270538E-01
-9.901312E-03,-1.125899E-01,1.8857452E-01
-9.898035E-03,-1.166182E-01,2.0665619E-01
-9.894758E-03,-1.208297E-01,2.2321198E-01
-9.891482E-03,-1.241713E-01,2.4060699E-01
-9.888205E-03,-1.291609E-01,2.5693390E-01
-9.884928E-03,-1.317092E-01,2.7455780E-01
-9.881651E-03,-1.372176E-01,2.9065582E-01
-9.878374E-03,-1.402541E-01,3.0774567E-01
-9.875098E-03,-1.452590E-01,3.2346222E-01
-9.871821E-03,-1.479293E-01,3.4009430E-01
-9.868544E-03,-1.535903E-01,3.5581085E-01
-9.865267E-03,-1.564742E-01,3.7206146E-01
-9.861990E-03,-1.625472E-01,3.8808319E-01
-9.858714E-03,-1.646682E-01,4.0441010E-01
-9.855437E-03,-1.703292E-01,4.1928741E-01
-9.852160E-03,-1.725112E-01,4.3622467E-01
-9.848883E-03,-1.785536E-01,4.5049164E-01
-9.845606E-03,-1.808425E-01,4.6651337E-01
-9.842330E-03,-1.869765E-01,4.8070404E-01
-9.839053E-03,-1.887770E-01,4.9642059E-01
-9.835776E-03,-1.952010E-01,5.0984833E-01
-9.832499E-03,-1.963454E-01,5.2510712E-01
-9.829222E-03,-2.012282E-01,5.3876373E-01
-9.825946E-03,-2.036849E-01,5.5310699E-01
-9.822669E-03,-2.090560E-01,5.6622955E-01
-9.819392E-03,-2.114974E-01,5.8042023E-01
-9.816115E-03,-2.163344E-01,5.9148285E-01
-9.812838E-03,-2.175246E-01,6.0597870E-01
