Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.022669, 179.648773
11.513953993264476, 0.023144, 179.59314
13.257113655901088, 0.023219, 179.528503
15.264179671752334, 0.023182, 179.456299
17.57510624854792, 0.023469, 179.368774
20.235896477251575, 0.023385, 179.266663
23.29951810515372, 0.022858, 179.150269
26.826957952797258, 0.022697, 179.012543
30.888435964774818, 0.021927, 178.849274
35.564803062231285, 0.021638, 178.658447
40.94915062380425, 0.020475, 178.422379
47.14866363457394, 0.020123, 178.147552
54.286754393238596, 0.016236, 177.800583
62.50551925273973, 0.014706, 177.358078
71.96856730011521, 0.012908, 176.781845
82.86427728546842, 0.005215, 175.972336
95.40954763499938, -0.003545, 174.748581
109.85411419875584, -0.027895, 172.654816
126.48552168552958, -0.116317, 168.225494
145.63484775012444, -1.00065, 153.149811
167.68329368110082, -3.700489, -131.686554
193.06977288832496, -0.218711, -165.087753
222.29964825261956, -0.052531, -171.522888
255.95479226995357, -0.016932, -174.139099
294.705170255181, -0.002159, -175.599625
339.32217718953297, 0.006893, -176.555847
390.6939937054617, 0.010705, -177.190094
449.8432668969444, 0.013645, -177.689514
517.9474679231213, 0.01688, -178.049622
596.3623316594643, 0.01962, -178.376297
686.6488450042998, 0.020527, -178.628281
790.6043210907702, 0.020652, -178.852341
910.2981779915218, 0.020247, -179.001068
1048.1131341546852, 0.020102, -179.18251
1206.792640639329, 0.020601, -179.317642
1389.4954943731375, 0.020396, -179.434311
1599.8587196060573, 0.020434, -179.548294
1842.0699693267163, 0.021828, -179.623123
2120.9508879201903, 0.020726, -179.721298
2442.05309454865, 0.022421, -179.819611
2811.7686979742307, 0.022997, -179.885345
3237.457542817643, 0.01983, -179.959229
3727.593720314938, 0.021052, 179.951096
4291.934260128778, 0.020996, 179.886703
4941.713361323833, 0.020784, 179.81636
5689.866029018293, 0.020176, 179.741348
6551.285568595509, 0.020523, 179.650101
7543.120063354615, 0.020078, 179.553711
8685.11373751352, 0.01942, 179.452881
