Frequency [Hz], Amplitude [dB], Phase [deg]
10, -44.02187, -89.037231
11.513953993264476, -42.778381, -89.31485
13.257113655901088, -41.572491, -89.559654
15.264179671752334, -40.327431, -89.582504
17.57510624854792, -39.098167, -89.9739
20.235896477251575, -37.836079, -90.177864
23.29951810515372, -36.55582, -90.343292
26.826957952797258, -35.280609, -90.588333
30.888435964774818, -33.972488, -90.893768
35.564803062231285, -32.640942, -91.21624
40.94915062380425, -31.261955, -91.30896
47.14866363457394, -29.830618, -91.779274
54.286754393238596, -28.363979, -91.926193
62.50551925273973, -26.723858, -92.499222
71.96856730011521, -24.974176, -93.075249
82.86427728546842, -23.007011, -94.055534
95.40954763499938, -20.696915, -95.341553
109.85411419875584, -17.793667, -97.515907
126.48552168552958, -13.734341, -102.05027
145.63484775012444, -6.823815, -118.354485
167.68329368110082, -2.464005, 139.695038
193.06977288832496, -11.713934, 105.347374
222.29964825261956, -16.540016, 99.054314
255.95479226995357, -19.711277, 96.405067
294.705170255181, -22.192062, 95.14698
339.32217718953297, -24.276354, 94.099258
390.6939937054617, -26.067211, 93.367676
449.8432668969444, -27.683363, 92.847244
517.9474679231213, -29.133215, 92.0634
596.3623316594643, -30.702257, 91.533501
686.6488450042998, -32.100178, 90.936134
790.6043210907702, -33.504982, 90.767433
910.2981779915218, -34.534546, 90.727165
1048.1131341546852, -36.048027, 90.678848
1206.792640639329, -37.330715, 90.568817
1389.4954943731375, -38.559612, 90.281387
1599.8587196060573, -39.884205, 90.321785
1842.0699693267163, -40.767014, 89.641594
2120.9508879201903, -42.099457, 90.187607
2442.05309454865, -43.400833, 90.017288
2811.7686979742307, -44.687294, 87.860283
3237.457542817643, -45.453144, 90.528053
3727.593720314938, -46.883789, 89.950912
4291.934260128778, -47.998245, 87.181168
4941.713361323833, -48.846607, 87.23896
5689.866029018293, -50.093559, 86.757195
6551.285568595509, -50.805439, 85.894905
7543.120063354615, -51.661453, 85.157349
8685.11373751352, -52.326797, 82.938881
